Nombre_Arriendo,Precio ($),Gastos_Comunes ($),Comuna,Direccion,Metros (m²),Habitaciones,Baños
"Independencia, Disponibilidad inmediata",280000,70000,Independencia,Disponibilidad inmediata,30,1,1
"Maipú, Maipú 3D-2B y Estac y Bodega en el Descanso (126865)",460000,95000,Maipú,Maipú 3D-2B y Estac y Bodega en el Descanso (126865),55,3,2
"Estación Central, Toro Mazote 110, estación central",210000,50000,Estación Central,"Toro Mazote 110, estación central",30,1,1
"Las Condes, Arriendo depto las condes 2d+2b+1est+0bod 65m2 amoblado coló",1050,150000,Las Condes,Arriendo depto las condes 2d+2b+1est+0bod 65m2 amoblado coló,65,2,2
"Santiago, Depto Mariposa en Parque los Reyes (126916)",420000,80000,Santiago,Depto Mariposa en Parque los Reyes (126916),54,2,2
"Macul, A pasos de José Pedro Alessandri",390000,115000,Macul,A pasos de José Pedro Alessandri,37,1,1
"San Miguel, Bartolo Soto 4033",900000,180000,San Miguel,Bartolo Soto 4033,89,3,2
"Ñuñoa, San Eugenio 509",500000,90000,Ñuñoa,San Eugenio 509,44,1,1
"Ñuñoa, San Eugenio 509",500000,95000,Ñuñoa,San Eugenio 509,44,1,1
"Santiago, A pasos del Metro!  (126921)",335000,70000,Santiago,A pasos del Metro!  (126921),37,1,1
"Las Condes, Isidora Goyenechea / Plaza Perú",3800,600000,Las Condes,Isidora Goyenechea / Plaza Perú,250,3,3
"San Miguel, Vargas buston / chiloe",400000,115000,San Miguel,Vargas buston / chiloe,60,2,2
"Providencia, Parque bustamante",650000,90000,Providencia,Parque bustamante,65,2,2
"Vitacura, Vitacura con El Aromo",920000,230000,Vitacura,Vitacura con El Aromo,77,2,2
"Santiago, Ejercito libertador con claudio gay",490000,116000,Santiago,Ejercito libertador con claudio gay,48,2,2
"Santiago, Arriendo departamento 1d 1b  en santiago centro",476000,100000,Santiago,Arriendo departamento 1d 1b  en santiago centro,39,1,1
"Independencia, Arriendo departamento 1d 1b comuna independencia",250000,48000,Independencia,Arriendo departamento 1d 1b comuna independencia,30,1,1
"Independencia, Arriendo dpto. Independencia",340000,76000,Independencia,Arriendo dpto. Independencia,41,2,1
"Independencia, Arriendo departamento 2d 2b. San luis independencia",355000,90000,Independencia,Arriendo departamento 2d 2b. San luis independencia,41,2,2
"Estación Central, Arriendo dpto. Estudio, comuna estación central",245000,50000,Estación Central,"Arriendo dpto. Estudio, comuna estación central",25,1,1
"La Reina, Arriendo departamento enla reina",787000,225000,La Reina,Arriendo departamento enla reina,58,1,1
"Estación Central, Arriendo dpto. Placilla estación central 1d 1b",305000,63000,Estación Central,Arriendo dpto. Placilla estación central 1d 1b,33,1,1
"La Reina, Arriendo departamento en la reina",983000,310000,La Reina,Arriendo departamento en la reina,78,2,2
"Maipú, Se arrienda comodo y lindo departamento en maipú",500000,60000,Maipú,Se arrienda comodo y lindo departamento en maipú,57,3,2
"Ñuñoa, Maravillloso dpto frente al mall  (126888)",554000,126000,Ñuñoa,Maravillloso dpto frente al mall  (126888),39,1,1
"Santiago, Metro Universidad de chile/serrano",330000,90000,Santiago,Metro Universidad de chile/serrano,45,1,1
"La Florida, Se arrienda departamento en la florida  (112491)",470000,120000,La Florida,Se arrienda departamento en la florida  (112491),60,2,2
"Santiago, Amunategui 890",350000,60000,Santiago,Amunategui 890,67,2,2
"Macul, Av Quilin 139",520000,130000,Macul,Av Quilin 139,65,2,2
"Santiago, Metro los héroes - tucapel jimenez",280000,115000,Santiago,Metro los héroes - tucapel jimenez,34,1,1
"Santiago, Metro toesca - san ignacio",290000,110000,Santiago,Metro toesca - san ignacio,34,1,1
"Santiago, Av. Portugal - coquimbo",350000,80000,Santiago,Av. Portugal - coquimbo,32,1,1
"Santiago, Tarapacá / Metro Universidad de Chile",300000,60000,Santiago,Tarapacá / Metro Universidad de Chile,35,1,1
"Santiago, Av España - Metro República (126923)",550000,75000,Santiago,Av España - Metro República (126923),67,3,1
"Ñuñoa, Bello Dpto Estudio amoblado  (127033)",490000,50000,Ñuñoa,Bello Dpto Estudio amoblado  (127033),30,1,1
"Ñuñoa, Maravilloso Dpto 1D+1B+Walking Closet  (127017)",520000,100000,Ñuñoa,Maravilloso Dpto 1D+1B+Walking Closet  (127017),45,1,1
"Santiago, Maravilloso Dpto 1D+1B+Estc +Bodega  (127004)",460000,100000,Santiago,Maravilloso Dpto 1D+1B+Estc +Bodega  (127004),42,1,1
"La Florida, Lindo dpto 1Dormitorio y estacionamiento  (126999)",420000,55000,La Florida,Lindo dpto 1Dormitorio y estacionamiento  (126999),36,1,1
"Santiago, Matucana 1251",280000,55000,Santiago,Matucana 1251,35,1,1
"Santiago, Matucana 1251",280000,55000,Santiago,Matucana 1251,35,1,1
"Estación Central, Dpto 2 ambientes cerca de Metro Ecuador (127085)",220000,55000,Estación Central,Dpto 2 ambientes cerca de Metro Ecuador (127085),28,1,1
"Estación Central, Arriendo Dpto 1D con Balcón En Las Rejas (127082)",220000,55000,Estación Central,Arriendo Dpto 1D con Balcón En Las Rejas (127082),28,1,1
"Santiago, Moderno estudio en Santiago Centro (126987)",225000,80000,Santiago,Moderno estudio en Santiago Centro (126987),22,1,1
"Ñuñoa, Amoblado/ dos dormitorios y dos baños (127025)",420000,65000,Ñuñoa,Amoblado/ dos dormitorios y dos baños (127025),42,2,2
"Santiago, San Francisco 467",350000,80000,Santiago,San Francisco 467,36,1,1
"La Florida, Walker Martínez 2991",550000,145000,La Florida,Walker Martínez 2991,80,3,2
"Recoleta, Av. Recoleta 1760",495000,80000,Recoleta,Av. Recoleta 1760,60,3,2
"Santiago, Con estacionamiento dpto mariposa (123040)",415000,106000,Santiago,Con estacionamiento dpto mariposa (123040),53,2,2
"Santiago, Catedral 3058",235000,40000,Santiago,Catedral 3058,24,1,1
"Estación Central, Coronel Godoy 128",200000,28000,Estación Central,Coronel Godoy 128,22,1,1
"Las Condes, Luminoso Dpto, 3D, Las Condes (126707)",1180,200000,Las Condes,"Luminoso Dpto, 3D, Las Condes (126707)",85,3,2
"Santiago, A pasos de metro Santa Ana y Puente Cal y Canto",420000,100000,Santiago,A pasos de metro Santa Ana y Puente Cal y Canto,61,1,1
"Santiago, Avenida Vicuña Mackenna",400000,80000,Santiago,Avenida Vicuña Mackenna,70,1,1
"Ñuñoa, Avenida José Pedro Alessandri",500000,50000,Ñuñoa,Avenida José Pedro Alessandri,38,1,1
"Estación Central, Conde del Maule",330000,50000,Estación Central,Conde del Maule,35,1,1
"Santiago, Arriendo 3d 2 b 1 est. General mackenna (126616)",460000,70000,Santiago,Arriendo 3d 2 b 1 est. General mackenna (126616),52,3,2
"Santiago, tarapaca 850",280000,55000,Santiago,tarapaca 850,38,1,1
"Santiago, av manuel antonio matta 52",275000,65000,Santiago,av manuel antonio matta 52,31,1,1
"La Florida, Rojas Magallanes 2085, La Florida, Chile",650000,120000,La Florida,"Rojas Magallanes 2085, La Florida, Chile",68,2,2
"Santiago, zenteno 1482",280000,65000,Santiago,zenteno 1482,45,2,1
"Santiago, Depto. amplio dormitorio, Metro U de Chile  (126684)",350000,65000,Santiago,"Depto. amplio dormitorio, Metro U de Chile  (126684)",37,1,1
"Macul, Dpto a estrenar en Macul 2d/1b/1e (126579)",450000,70000,Macul,Dpto a estrenar en Macul 2d/1b/1e (126579),44,2,1
"Estación Central, Se arriendo departamento estacion central (126622)",280000,70000,Estación Central,Se arriendo departamento estacion central (126622),32,1,1
"Huechuraba, Amoblado Pedro Fontova nuevo (126696)",1200,250000,Huechuraba,Amoblado Pedro Fontova nuevo (126696),100,3,2
"Santiago, catedral 1310",350000,65000,Santiago,catedral 1310,38,1,1
"Santiago, blanco encalada 2007",275000,55000,Santiago,blanco encalada 2007,33,1,1
"Santiago, blanco encalada 2007",275000,55000,Santiago,blanco encalada 2007,33,1,1
"La Florida, av la florida 10397",450000,100000,La Florida,av la florida 10397,53,2,2
"Santiago, catedral 1310",350000,65000,Santiago,catedral 1310,38,1,1
"Santiago, blanco encalada 2007",275000,55000,Santiago,blanco encalada 2007,33,1,1
"La Florida, av la florida 10397",450000,100000,La Florida,av la florida 10397,53,2,2
"Macul, Hermoso departamento en sector residencial (126617)",750000,150000,Macul,Hermoso departamento en sector residencial (126617),70,3,2
"Las Condes, Seminuevo. Cantagallo (126619)",750000,110000,Las Condes,Seminuevo. Cantagallo (126619),51,1,1
"La Florida, Frente a mall florida center",550000,100000,La Florida,Frente a mall florida center,58,3,1
"Macul, Metro Macul",500000,90000,Macul,Metro Macul,55,2,2
"Ñuñoa, Sector campus oriente uc",550000,120000,Ñuñoa,Sector campus oriente uc,42,1,1
"Providencia, Gran vista y terraza, estacionamiento, metro (126593)",650000,112000,Providencia,"Gran vista y terraza, estacionamiento, metro (126593)",37,1,1
"Ñuñoa, Zañartu 1313",570000,120000,Ñuñoa,Zañartu 1313,58,2,2
"Ñuñoa, Manuel Montt",890000,130000,Ñuñoa,Manuel Montt,65,2,2
"Ñuñoa, Depto 1D 1B Vicuña Mackenna  (126613)",400000,40000,Ñuñoa,Depto 1D 1B Vicuña Mackenna  (126613),45,1,1
"Ñuñoa, Arriendo depto de 2d en plaza ñuñoa (126649)",650000,180000,Ñuñoa,Arriendo depto de 2d en plaza ñuñoa (126649),64,2,2
"Santiago, Casi Nuevo 1d 1b Bodega Metro Irarrázaval (126694)",399000,83000,Santiago,Casi Nuevo 1d 1b Bodega Metro Irarrázaval (126694),32,1,1
"Recoleta, Av peru",370000,85000,Recoleta,Av peru,34,1,1
"La Florida, Se arrienda departamento a pasos del metro (126635)",400000,80000,La Florida,Se arrienda departamento a pasos del metro (126635),40,1,1
"San Miguel, Metro ciudad del niño- 7ma. Avenida (126665)",580000,110000,San Miguel,Metro ciudad del niño- 7ma. Avenida (126665),67,3,2
"Macul, Av Macul y Quilín",470000,70000,Macul,Av Macul y Quilín,41,1,1
"Macul, Av Macul y Quilín",430000,70000,Macul,Av Macul y Quilín,38,1,1
"Santiago, San martín 870",330000,70000,Santiago,San martín 870,47,2,1
"Estación Central, Arriendo depto 2h2b Av Padre Hurtado (126686)",459000,80000,Estación Central,Arriendo depto 2h2b Av Padre Hurtado (126686),45,2,2
"San Miguel, Arriendo depto 4ta Av. 2h1b (126662)",410000,85000,San Miguel,Arriendo depto 4ta Av. 2h1b (126662),43,2,1
"Ñuñoa, Departamento Nuevo en Ñuñoa 1D+1E (126653)",635000,100000,Ñuñoa,Departamento Nuevo en Ñuñoa 1D+1E (126653),36,1,1
"Santiago, A Pasos del Parque un Dormitorio (126645)",200000,70000,Santiago,A Pasos del Parque un Dormitorio (126645),38,1,1
"Santiago, Depto con Bodega Plaza Yungay (126636)",330000,70000,Santiago,Depto con Bodega Plaza Yungay (126636),38,1,1
"Puente Alto, Av la florida 10397",400000,90000,Puente Alto,Av la florida 10397,48,2,1
"Santiago, Arriendo 2D + 2 B Cerca Metro U. de Chile (126722)",430000,110000,Santiago,Arriendo 2D + 2 B Cerca Metro U. de Chile (126722),55,2,2
