Nombre,Precio,Gastos_Comunes,Ubicacion,Metros,Habitaciones,Baños
"Santiago, Departamento Mariposa Metro Ñuble 2d 2b 1e 1b (126898)",$ 520.000,$ 90.000,"Santiago, Departamento Mariposa Metro Ñuble 2d 2b 1e 1b (126898)",47 m²,2,2
"Ñuñoa, José Pedro Alessandri",$ 650.000,$ 120.000,"Ñuñoa, José Pedro Alessandri",65 m²,2,1
"Vitacura, Agustín del Castillo","UF 48,00",$ 400.000,"Vitacura, Agustín del Castillo",147 m²,4,4
"Ñuñoa, Augusto Villanueva",$ 670.000,$ 80.000,"Ñuñoa, Augusto Villanueva",71 m²,3,1
"Vitacura, El Ciruelillo","UF 43,00",$ 210.000,"Vitacura, El Ciruelillo",96 m²,2,2
"La Florida, Hermoso departamento 3d+2b+e+b la florida (126995)",$ 600.000,$ 89.000,"La Florida, Hermoso departamento 3d+2b+e+b la florida (126995)",89 m²,3,2
"La Cisterna, C. Dos 6546 (Calle Dos 6546)",$ 300.000,$ 50.000,"La Cisterna, C. Dos 6546 (Calle Dos 6546)","36,97 m²",1,1
"Las Condes, Entre Isidora Goyenechea y Presidente Riesco",$ 950.000,$ 130.000,"Las Condes, Entre Isidora Goyenechea y Presidente Riesco",100 m²,3,2
"Providencia, Departamento- amplia terraza en Providencia (126981)",$ 850.000,$ 110.000,"Providencia, Departamento- amplia terraza en Providencia (126981)",37 m²,1,1
"Macul, Cercano a calle Rodrigo de Araya",$ 700.000,$ 130.000,"Macul, Cercano a calle Rodrigo de Araya",67 m²,3,2
"Quinta Normal, Arriendo departamento 3 dormitorios (126945)",$ 340.000,$ 80.000,"Quinta Normal, Arriendo departamento 3 dormitorios (126945)",55 m²,3,1
"Ñuñoa, Metro Ñuble/1Dorm-1Baño-Balcón/Excelente (126989)",$ 340.000,$ 65.000,"Ñuñoa, Metro Ñuble/1Dorm-1Baño-Balcón/Excelente (126989)",29 m²,1,1
"Macul, Avda macul 3198 depto 906",$ 360.000,$ 60.000,"Macul, Avda macul 3198 depto 906",52 m²,1,1
"Santiago, Ejercito Libertador | Disponibilidad Inmediata | Metro Toesca.",$ 395.000,$ 75.000,"Santiago, Ejercito Libertador | Disponibilidad Inmediata | Metro Toesca.",43 m²,1,2
"Las Condes, La Gioconda // Américo Vespucio Norte",$ 2.400.000,$ 370.000,"Las Condes, La Gioconda // Américo Vespucio Norte",260 m²,4,3
"Macul, Cercano a calle Rodrigo de Araya",$ 700.000,$ 130.000,"Macul, Cercano a calle Rodrigo de Araya",67 m²,3,2
"Quinta Normal, Arriendo departamento 3 dormitorios (126945)",$ 340.000,$ 80.000,"Quinta Normal, Arriendo departamento 3 dormitorios (126945)",55 m²,3,1
"Ñuñoa, Metro Ñuble/1Dorm-1Baño-Balcón/Excelente (126989)",$ 340.000,$ 65.000,"Ñuñoa, Metro Ñuble/1Dorm-1Baño-Balcón/Excelente (126989)",29 m²,1,1
"Macul, Avda macul 3198 depto 906",$ 360.000,$ 60.000,"Macul, Avda macul 3198 depto 906",52 m²,1,1
"Santiago, Ejercito Libertador | Disponibilidad Inmediata | Metro Toesca.",$ 395.000,$ 75.000,"Santiago, Ejercito Libertador | Disponibilidad Inmediata | Metro Toesca.",43 m²,1,2
"Las Condes, La Gioconda // Américo Vespucio Norte",$ 2.400.000,$ 370.000,"Las Condes, La Gioconda // Américo Vespucio Norte",260 m²,4,3
"Las Condes, Warren Smith","UF 49,00",$ 300.000,"Las Condes, Warren Smith",140 m²,4,3
"Independencia, Disponibilidad inmediata",$ 280.000,$ 70.000,"Independencia, Disponibilidad inmediata",30 m²,1,1
"Maipú, Maipú 3D-2B y Estac y Bodega en el Descanso (126865)",$ 460.000,$ 95.000,"Maipú, Maipú 3D-2B y Estac y Bodega en el Descanso (126865)",55 m²,3,2
"Estación Central, Toro Mazote 110, estación central",$ 210.000,$ 50.000,"Estación Central, Toro Mazote 110, estación central",30 m²,1,1
"Las Condes, Arriendo depto las condes 2d+2b+1est+0bod 65m2 amoblado coló",$ 1.050.000,$ 150.000,"Las Condes, Arriendo depto las condes 2d+2b+1est+0bod 65m2 amoblado coló",65 m²,2,2
"Santiago, Depto Mariposa en Parque los Reyes (126916)",$ 420.000,$ 80.000,"Santiago, Depto Mariposa en Parque los Reyes (126916)",54 m²,2,2
"Macul, A pasos de José Pedro Alessandri",$ 390.000,$ 115.000,"Macul, A pasos de José Pedro Alessandri",37 m²,1,1
"San Miguel, Bartolo Soto 4033",$ 900.000,$ 180.000,"San Miguel, Bartolo Soto 4033",89 m²,3,2
"Ñuñoa, San Eugenio 509",$ 500.000,$ 90.000,"Ñuñoa, San Eugenio 509",44 m²,1,1
"Ñuñoa, San Eugenio 509",$ 500.000,$ 95.000,"Ñuñoa, San Eugenio 509",44 m²,1,1
"Santiago, A pasos del Metro!  (126921)",$ 335.000,$ 70.000,"Santiago, A pasos del Metro!  (126921)",37 m²,1,1
"Las Condes, Isidora Goyenechea / Plaza Perú",$ 3.800.000,$ 600.000,"Las Condes, Isidora Goyenechea / Plaza Perú",250 m²,3,3
"San Miguel, Vargas buston / chiloe",$ 400.000,$ 115.000,"San Miguel, Vargas buston / chiloe",60 m²,2,2
"Providencia, Parque bustamante",$ 650.000,$ 90.000,"Providencia, Parque bustamante",65 m²,2,2
"Huechuraba, Bosques de la pirámide","UF 18,00",$ 170.000,"Huechuraba, Bosques de la pirámide",78 m²,2,2
"Vitacura, Vitacura con El Aromo",$ 920.000,$ 230.000,"Vitacura, Vitacura con El Aromo",77 m²,2,2
"Ñuñoa, Estrella Solitaria / Ortúzar","UF 21,00",$ 120.000,"Ñuñoa, Estrella Solitaria / Ortúzar",63 m²,2,2
"Las Condes, Entre Metro Acantara y Escuela militar","UF 18,00",$ 140.000,"Las Condes, Entre Metro Acantara y Escuela militar",40 m²,1,1
"Santiago, Ejercito libertador con claudio gay",$ 490.000,$ 116.000,"Santiago, Ejercito libertador con claudio gay",48 m²,2,2
"Santiago, Arriendo departamento 1d 1b  en santiago centro",$ 476.000,$ 1,"Santiago, Arriendo departamento 1d 1b  en santiago centro","39,25 m²",1,1
"Independencia, Arriendo departamento 1d 1b comuna independencia",$ 250.000,$ 48.000,"Independencia, Arriendo departamento 1d 1b comuna independencia",30 m²,1,1
"Independencia, Arriendo dpto. Independencia",$ 340.000,$ 76.000,"Independencia, Arriendo dpto. Independencia",41 m²,2,1
